p_recall,timestamp,delta,user_id,learning_language,ui_language,lexeme_id,lexeme_string,history_seen,history_correct,session_seen,session_correct,datetime,date,diff_minutes,sess_int,new_session,session_id,session_size
1.0,1362148959,269996,u:_4-,es,en,de9ac0fd40e72b12722faf6c89faef22,pequeño/pequeño<adj><m><sg>,55,53,1,1,2013-03-01 14:42:39,2013-03-01,0.0,0.0,False,1,39
1.0,1362148959,1799731,u:_4-,es,en,9514a745286f34b3d6d0a945cd31502d,calor/calor<n><m><sg>,9,9,2,2,2013-03-01 14:42:39,2013-03-01,0.0,0.0,False,1,39
1.0,1362148959,1799731,u:_4-,es,en,3aa75bfd6655274b317ac938c4249548,comprar/comprar<vblex><inf>,38,34,2,2,2013-03-01 14:42:39,2013-03-01,0.0,0.0,False,1,39
0.0,1362148959,718456,u:_4-,es,en,7f15cb95be8b837c7bf1808406ae133a,padres/padre<n><m><pl>,213,196,1,0,2013-03-01 14:42:39,2013-03-01,0.0,0.0,False,1,39
0.5,1362148959,1799731,u:_4-,es,en,4e81af4ceb94eeb2c350ef6593680dab,viste/ver<vblex><ifi><p2><sg>,36,35,2,1,2013-03-01 14:42:39,2013-03-01,0.0,0.0,False,1,39
1.0,1362148959,1799731,u:_4-,es,en,ea55cbcafba6954b4c37bbb565651c12,naturaleza/naturaleza<n><f><sg>,10,9,2,2,2013-03-01 14:42:39,2013-03-01,0.0,0.0,False,1,39
1.0,1362148959,1797333,u:_4-,es,en,8b7e481c422c863c518380532cc4bdde,interesante/interesante<adj><mf><sg>,41,37,4,4,2013-03-01 14:42:39,2013-03-01,0.0,0.0,False,1,39
0.0,1362148959,85659,u:_4-,es,en,0db3ffe210ff31425040e140f5ab422b,casa/casa<n><f><sg>,2,2,1,0,2013-03-01 14:42:39,2013-03-01,0.0,0.0,False,1,39
1.0,1362148959,1799731,u:_4-,es,en,264e4d01dfd62723a0fc787b68357bad,mundo/mundo<n><m><sg>,39,38,3,3,2013-03-01 14:42:39,2013-03-01,0.0,0.0,False,1,39
1.0,1362148959,85659,u:_4-,es,en,2f2e9c3275b27175db209eccaa8cd4f4,ir/ir<vblex><inf>,147,131,1,1,2013-03-01 14:42:39,2013-03-01,0.0,0.0,False,1,39
1.0,1362148959,79060,u:_4-,es,en,f0700e2114a636505a5210178d92e980,este/este<det><dem><m><sg>,339,302,3,3,2013-03-01 14:42:39,2013-03-01,0.0,0.0,False,1,39
1.0,1362148959,78131,u:_4-,es,en,70b3074bfb21ec4696b5718fa0391615,puedes/poder<vbmod><pri><p2><sg>,141,136,1,1,2013-03-01 14:42:39,2013-03-01,0.0,0.0,False,1,39
0.0,1362148959,78131,u:_4-,es,en,9353386b0c4e64accaac7bc00f86959d,mis/mío<det><pos><mf><pl>,591,538,1,0,2013-03-01 14:42:39,2013-03-01,0.0,0.0,False,1,39
1.0,1362148959,78131,u:_4-,es,en,c2c8a202a12411858f87d4dcef5b2998,no/no<adv>,1782,1642,2,2,2013-03-01 14:42:39,2013-03-01,0.0,0.0,False,1,39
1.0,1362148959,78131,u:_4-,es,en,9cbe4ff448a888bb327e212e6bb89b72,dónde/dónde<adv><itg>,183,174,1,1,2013-03-01 14:42:39,2013-03-01,0.0,0.0,False,1,39
1.0,1362148959,1799731,u:_4-,es,en,88cc0487bd0078a3cb5d8b8e6271754d,saben/saber<vblex><pri><p3><pl>,39,38,1,1,2013-03-01 14:42:39,2013-03-01,0.0,0.0,False,1,39
1.0,1362148959,630105,u:_4-,es,en,54a975d93882e7d0aa196adc5adfeb93,radio/radio<n><m><sg>,54,51,1,1,2013-03-01 14:42:39,2013-03-01,0.0,0.0,False,1,39
1.0,1362148959,269996,u:_4-,es,en,e395448740a1b1e1d3ce42c87852fd3a,pueden/poder<vbmod><pri><p3><pl>,180,167,1,1,2013-03-01 14:42:39,2013-03-01,0.0,0.0,False,1,39
1.0,1362148959,1797333,u:_4-,es,en,e144d5851ef01b0ca9355ef631e0139b,pensar/pensar<vblex><inf><@future_phrasal>,35,34,3,3,2013-03-01 14:42:39,2013-03-01,0.0,0.0,False,1,39
1.0,1362148959,79060,u:_4-,es,en,6b512f096d144194ab320d394d076a7d,va/ir<vblex><pri><p3><sg><@future_phrasal>,326,310,2,2,2013-03-01 14:42:39,2013-03-01,0.0,0.0,False,1,39
1.0,1362148959,265732,u:_4-,es,en,4223f27366fc70333225b9e2ec3d2a4c,tengo/tener<vblex><pri><p1><sg>,580,547,1,1,2013-03-01 14:42:39,2013-03-01,0.0,0.0,False,1,39
1.0,1362148959,1533401,u:_4-,es,en,d1abde44634da97861c5ace7c710eee5,estás/estar<vblex><pri><p2><sg>,60,56,2,2,2013-03-01 14:42:39,2013-03-01,0.0,0.0,False,1,39
1.0,1362148959,85659,u:_4-,es,en,d157a2149034333f421bed0320e316dc,hoy/hoy<adv>,347,321,1,1,2013-03-01 14:42:39,2013-03-01,0.0,0.0,False,1,39
1.0,1362148959,79060,u:_4-,es,en,ad2c56f95c8646373906ccb638c5aa8a,que/que<cnjsub>,794,704,3,3,2013-03-01 14:42:39,2013-03-01,0.0,0.0,False,1,39
1.0,1362148959,265732,u:_4-,es,en,9e1e98c90cd2c0ccdab273e35a4fa3db,hace/hacer<vblex><pri><p3><sg>,94,68,1,1,2013-03-01 14:42:39,2013-03-01,0.0,0.0,False,1,39
1.0,1362148959,541132,u:_4-,es,en,e5a09ea1bd469575ed000382d5cee176,mujer/mujer<n><f><sg>,154,145,2,2,2013-03-01 14:42:39,2013-03-01,0.0,0.0,False,1,39
1.0,1362148959,86381,u:_4-,es,en,3778bcfe5412378caeff2f682510cd92,ese/ese<det><dem><m><sg>,399,358,1,1,2013-03-01 14:42:39,2013-03-01,0.0,0.0,False,1,39
1.0,1362148959,78131,u:_4-,es,en,4d77de913dc3d65f1c9fac9d1c349684,en/en<pr>,1214,1115,2,2,2013-03-01 14:42:39,2013-03-01,0.0,0.0,False,1,39
1.0,1362148959,622131,u:_4-,es,en,f9fb279a9bd8900d84965a3296c4f746,vestidos/vestido<n><m><pl>,63,58,1,1,2013-03-01 14:42:39,2013-03-01,0.0,0.0,False,1,39
0.0,1362150191,87613,u:_4-,es,en,cdc8cc7a9c566a15b73bd04873b3c9b5,amigos/amigo<n><m><pl>,1,1,1,0,2013-03-01 15:03:11,2013-03-01,20.533333333333335,20.533333333333335,True,2,42
1.0,1362150191,1232,u:_4-,es,en,70b3074bfb21ec4696b5718fa0391615,puedes/poder<vbmod><pri><p2><sg>,142,137,1,1,2013-03-01 15:03:11,2013-03-01,0.0,0.0,False,2,42
1.0,1362150191,1798565,u:_4-,es,en,ab3f648a1873a15d60ccc17b341ab7fe,ti/ti<prn><tn><p2><mf><sg>,53,49,2,2,2013-03-01 15:03:11,2013-03-01,0.0,0.0,False,2,42
1.0,1362150191,1798565,u:_4-,es,en,a689045322ea250dc306483a69d7a5b4,miró/mirar<vblex><ifi><p3><sg>,39,38,3,3,2013-03-01 15:03:11,2013-03-01,0.0,0.0,False,2,42
0.666666666667,1362150191,1232,u:_4-,es,en,38b770e66595fea718366523b4f7db3f,libro/libro<n><m><sg>,394,355,3,2,2013-03-01 15:03:11,2013-03-01,0.0,0.0,False,2,42
0.75,1362150191,80292,u:_4-,es,en,4bdb859f599fa07dd5eecdab0acc2d34,a/a<pr>,1890,1744,4,3,2013-03-01 15:03:11,2013-03-01,0.0,0.0,False,2,42
1.0,1362150191,537072,u:_4-,es,en,949dcde4140ed63db24a73573f6ce7ea,gato/gato<n><m><sg>,82,78,1,1,2013-03-01 15:03:11,2013-03-01,0.0,0.0,False,2,42
1.0,1362150191,80292,u:_4-,es,en,29051446e9765b365fc8752cd2cddb2a,voy/ir<vblex><pri><p1><sg><@future_phrasal>,340,319,1,1,2013-03-01 15:03:11,2013-03-01,0.0,0.0,False,2,42
1.0,1362150191,1232,u:_4-,es,en,41ba24ffb11fd09f5fc715d39cc6c1ea,qué/qué<prn><itg><m><sg>,322,300,2,2,2013-03-01 15:03:11,2013-03-01,0.0,0.0,False,2,42
0.0,1362150191,1232,u:_4-,es,en,19ce1c76f83b4c311fee6139b33ce7b3,vamos/ir<vblex><pri><p1><pl><@future_phrasal>,402,381,1,0,2013-03-01 15:03:11,2013-03-01,0.0,0.0,False,2,42
1.0,1362150191,86891,u:_4-,es,en,995131f55b5016b8418f0b63b47b56a8,estar/estar<vblex><inf>,128,110,1,1,2013-03-01 15:03:11,2013-03-01,0.0,0.0,False,2,42
1.0,1362150191,1169959,u:_4-,es,en,866e64c5982b300a8fa79f2d02342554,vas/ir<vblex><pri><p2><sg><@future_phrasal>,217,201,2,2,2013-03-01 15:03:11,2013-03-01,0.0,0.0,False,2,42
1.0,1362150191,79363,u:_4-,es,en,ca654a5855afacd3c7f6b4ab98390ae2,está/estar<vblex><pri><p3><sg>,474,441,1,1,2013-03-01 15:03:11,2013-03-01,0.0,0.0,False,2,42
1.0,1362150191,89898,u:_4-,es,en,ab724af62c7e36266ef3b66766d47489,te/prpers<prn><pro><p2><mf><sg>,461,403,1,1,2013-03-01 15:03:11,2013-03-01,0.0,0.0,False,2,42
1.0,1362150191,1798565,u:_4-,es,en,4e847fbd51c354ef547583d32e0c8765,contar/contar<vblex><inf>,31,31,2,2,2013-03-01 15:03:11,2013-03-01,0.0,0.0,False,2,42
1.0,1362150191,1163151,u:_4-,es,en,55cc2386d20ceea622e7c218e7f5cb0c,elefante/elefante<n><m><sg>,83,75,2,2,2013-03-01 15:03:11,2013-03-01,0.0,0.0,False,2,42
1.0,1362150191,1792941,u:_4-,es,en,21b77630ebafc460eb35088a031ebbef,perfectamente/perfectamente<adv>,44,35,1,1,2013-03-01 15:03:11,2013-03-01,0.0,0.0,False,2,42
0.0,1362150191,89898,u:_4-,es,en,fda174b61b0ed5e2eaa6deceae37f56b,son/ser<vbser><pri><p3><pl>,865,808,1,0,2013-03-01 15:03:11,2013-03-01,0.0,0.0,False,2,42
1.0,1362150191,89898,u:_4-,es,en,53f16f87624b64df3b9f96a7b2f724ff,tiempo/tiempo<n><m><sg>,1,1,1,1,2013-03-01 15:03:11,2013-03-01,0.0,0.0,False,2,42
1.0,1362150191,271228,u:_4-,es,en,be3d30b92f967b195e1ce24b7fdc1e11,para/para<pr>,220,206,1,1,2013-03-01 15:03:11,2013-03-01,0.0,0.0,False,2,42
1.0,1362150191,266964,u:_4-,es,en,a28e4538f9198005015fcec055ed844e,seis/seis<num><mf><sp>,66,59,1,1,2013-03-01 15:03:11,2013-03-01,0.0,0.0,False,2,42
1.0,1362150191,358740,u:_4-,es,en,b863310b3725429f8688d1696e31fb87,siete/siete<num><mf><sp>,96,83,1,1,2013-03-01 15:03:11,2013-03-01,0.0,0.0,False,2,42
1.0,1362150191,1353086,u:_4-,es,en,ad97654e4893d82730ee38fa10d1068a,sin/sin<pr>,83,76,1,1,2013-03-01 15:03:11,2013-03-01,0.0,0.0,False,2,42
0.0,1362150191,1232,u:_4-,es,en,9353386b0c4e64accaac7bc00f86959d,mis/mío<det><pos><mf><pl>,592,538,1,0,2013-03-01 15:03:11,2013-03-01,0.0,0.0,False,2,42
1.0,1362150191,1232,u:_4-,es,en,c2c8a202a12411858f87d4dcef5b2998,no/no<adv>,1784,1644,2,2,2013-03-01 15:03:11,2013-03-01,0.0,0.0,False,2,42
1.0,1362150191,1360168,u:_4-,es,en,e9e6b87a0ff318d474d63879a7bf97b6,cielo/cielo<n><m><sg>,31,29,1,1,2013-03-01 15:03:11,2013-03-01,0.0,0.0,False,2,42
0.0,1362150191,80292,u:_4-,es,en,4a053e65555d1325c3ff3e618239606e,y/y<cnjcoo>,544,502,1,0,2013-03-01 15:03:11,2013-03-01,0.0,0.0,False,2,42
1.0,1362150191,1798565,u:_4-,es,en,022a6054cf91fa919945bb5d6a95c181,gris/gris<adj><mf><sg>,13,13,4,4,2013-03-01 15:03:11,2013-03-01,0.0,0.0,False,2,42
1.0,1362150191,79363,u:_4-,es,en,efb4aff15b32a7b5253e29f02cc85dd8,puedo/poder<vbmod><pri><p1><sg>,246,228,1,1,2013-03-01 15:03:11,2013-03-01,0.0,0.0,False,2,42
0.5,1362150191,1792941,u:_4-,es,en,8e35833ab82f94c4a44be34a202514e3,escribir/escribir<vblex><inf><@future_phrasal>,35,33,2,1,2013-03-01 15:03:11,2013-03-01,0.0,0.0,False,2,42
1.0,1362150191,178655,u:_4-,es,en,2d4352852e83abf2ab1455d81680dff5,hay/hay<vblex><pri><p3><sg>,112,99,1,1,2013-03-01 15:03:11,2013-03-01,0.0,0.0,False,2,42
1.0,1362150191,1232,u:_4-,es,en,4223f27366fc70333225b9e2ec3d2a4c,tengo/tener<vblex><pri><p1><sg>,581,548,1,1,2013-03-01 15:03:11,2013-03-01,0.0,0.0,False,2,42
0.666666666667,1362150191,1798565,u:_4-,es,en,0f74821da4122d27786204db337aa795,elefantes/elefante<n><m><pl>,52,48,3,2,2013-03-01 15:03:11,2013-03-01,0.0,0.0,False,2,42
1.0,1362150191,89898,u:_4-,es,en,d8e7d9390fd34b4412426351e8866f6e,nos/prpers<prn><pro><p1><mf><pl>,326,297,1,1,2013-03-01 15:03:11,2013-03-01,0.0,0.0,False,2,42
1.0,1362150191,365054,u:_4-,es,en,16b4f0acd409db1e81e9eab37d807c85,o/o<cnjcoo>,45,38,1,1,2013-03-01 15:03:11,2013-03-01,0.0,0.0,False,2,42
0.0,1362150191,1537678,u:_4-,es,en,7f0ea4d40cd20d7e6ac1cb453412fba1,grandes/grande<adj><mf><pl>,91,83,1,0,2013-03-01 15:03:11,2013-03-01,0.0,0.0,False,2,42
1.0,1362150191,86891,u:_4-,es,en,483f8bb2614072287fe1a39eb15ba612,me/prpers<prn><pro><p1><mf><sg>,1230,1116,1,1,2013-03-01 15:03:11,2013-03-01,0.0,0.0,False,2,42
1.0,1362150191,79363,u:_4-,es,en,fe5f98df899d5d233240fffa99ee12fa,con/con<pr>,556,520,1,1,2013-03-01 15:03:11,2013-03-01,0.0,0.0,False,2,42
1.0,1362150191,80292,u:_4-,es,en,958e352cb64f78feed5afb5b95657dbe,eres/ser<vbser><pri><p2><sg>,271,252,1,1,2013-03-01 15:03:11,2013-03-01,0.0,0.0,False,2,42
1.0,1362150191,1798565,u:_4-,es,en,b428bbc79ab5b8a0b416b33dd8db709c,naturales/natural<adj><mf><pl>,37,33,1,1,2013-03-01 15:03:11,2013-03-01,0.0,0.0,False,2,42
1.0,1362150191,1792941,u:_4-,es,en,8c8018beb507e26b36848a5f8c891c76,leer/leer<vblex><inf><@future_phrasal>,37,36,2,2,2013-03-01 15:03:11,2013-03-01,0.0,0.0,False,2,42
1.0,1362150191,89898,u:_4-,es,en,6db9fb52d6b1c4c5be630498cdfcdc9b,puede/poder<vbmod><pri><p3><sg>,293,274,1,1,2013-03-01 15:03:11,2013-03-01,0.0,0.0,False,2,42
1.0,1362152109,1352771,u:_4-,es,en,680ab1a017a538045b385f4d838f7a83,barco/barco<n><m><sg>,57,54,1,1,2013-03-01 15:35:09,2013-03-01,31.966666666666665,31.966666666666665,True,3,48
1.0,1362152109,82210,u:_4-,es,en,a1c23041a9f2027af4464f198c2bc0f3,eso/eso<prn><tn><m><sp>,375,341,1,1,2013-03-01 15:35:09,2013-03-01,0.0,0.0,False,3,48
1.0,1362152109,364651,u:_4-,es,en,2263cc6b4150b52b5c419083b5cd3aa5,restaurante/restaurante<n><m><sg>,273,255,1,1,2013-03-01 15:35:09,2013-03-01,0.0,0.0,False,3,48
0.0,1362152109,992239,u:_4-,es,en,95d2b92025cd246dca2c0c9181fb30f1,hablé/hablar<vblex><ifi><p1><sg>,58,54,1,0,2013-03-01 15:35:09,2013-03-01,0.0,0.0,False,3,48
1.0,1362152109,1794859,u:_4-,es,en,22c8fb403f2a171f9836d3b7f322d009,alcanzar/alcanzar<vblex><inf><@future_phrasal>,32,29,3,3,2013-03-01 15:35:09,2013-03-01,0.0,0.0,False,3,48
1.0,1362152109,82210,u:_4-,es,en,ff7526345ef55f2955d0b1a592f548a3,quiere/querer<vbmod><pri><p3><sg>,19,18,1,1,2013-03-01 15:35:09,2013-03-01,0.0,0.0,False,3,48
0.0,1362152109,81281,u:_4-,es,en,930ddde2032f793642573f03dc198c9c,mi/mío<det><pos><mf><sg>,1372,1262,2,0,2013-03-01 15:35:09,2013-03-01,0.0,0.0,False,3,48
1.0,1362152109,91816,u:_4-,es,en,0ab1ebd75cc665c45842660e64b7bf84,quieren/querer<vbmod><pri><p3><pl>,11,11,2,2,2013-03-01 15:35:09,2013-03-01,0.0,0.0,False,3,48
1.0,1362152109,1918,u:_4-,es,en,4bdb859f599fa07dd5eecdab0acc2d34,a/a<pr>,1894,1747,2,2,2013-03-01 15:35:09,2013-03-01,0.0,0.0,False,3,48
0.0,1362152109,1918,u:_4-,es,en,29051446e9765b365fc8752cd2cddb2a,voy/ir<vblex><pri><p1><sg><@future_phrasal>,341,320,1,0,2013-03-01 15:35:09,2013-03-01,0.0,0.0,False,3,48
1.0,1362152109,1793433,u:_4-,es,en,96f76a8c2a7335da627f6464ed803396,quieres/querer<vbmod><pri><p2><sg>,11,10,3,3,2013-03-01 15:35:09,2013-03-01,0.0,0.0,False,3,48
1.0,1362152109,1918,u:_4-,es,en,19ce1c76f83b4c311fee6139b33ce7b3,vamos/ir<vblex><pri><p1><pl><@future_phrasal>,403,381,1,1,2013-03-01 15:35:09,2013-03-01,0.0,0.0,False,3,48
1.0,1362152109,1794859,u:_4-,es,en,b228fc5fd8c59186e554e9d11b83f26f,esperar/esperar<vblex><inf>,33,32,3,3,2013-03-01 15:35:09,2013-03-01,0.0,0.0,False,3,48
0.0,1362152109,1918,u:_4-,es,en,fe5f98df899d5d233240fffa99ee12fa,con/con<pr>,557,521,1,0,2013-03-01 15:35:09,2013-03-01,0.0,0.0,False,3,48
1.0,1362152109,1918,u:_4-,es,en,866e64c5982b300a8fa79f2d02342554,vas/ir<vblex><pri><p2><sg><@future_phrasal>,219,203,1,1,2013-03-01 15:35:09,2013-03-01,0.0,0.0,False,3,48
1.0,1362152109,81281,u:_4-,es,en,e35758ada066b83b2a4561d05ee1d7f5,comer/comer<vblex><inf>,205,180,1,1,2013-03-01 15:35:09,2013-03-01,0.0,0.0,False,3,48
0.0,1362152109,181864,u:_4-,es,en,b50078c1723b7128395e7beb0e724978,hijo/hijo<n><m><sg>,170,156,1,0,2013-03-01 15:35:09,2013-03-01,0.0,0.0,False,3,48
1.0,1362152109,1793433,u:_4-,es,en,5d55a71e9e0087c9139331f51a770e30,naturalmente/naturalmente<adv>,35,30,1,1,2013-03-01 15:35:09,2013-03-01,0.0,0.0,False,3,48
0.0,1362152109,1794859,u:_4-,es,en,dda9b889972c02fa83c00ee3bcd97f1d,viernes/viernes<n><m><sp>,48,43,2,0,2013-03-01 15:35:09,2013-03-01,0.0,0.0,False,3,48
